% function evaluation | noise-free fitness - Fopt (7.948000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
5 +2.597471659e+00 +2.597471659e+00 -2.445125283e+02 -2.445125283e+02 -2.2223e+00 +5.3970e-01
10 +7.967810937e-01 +7.967810937e-01 -2.463132189e+02 -2.463132189e+02 -3.5840e+00 +1.0697e+00
52 +5.904341942e-02 +5.904341942e-02 -2.470509566e+02 -2.470509566e+02 -4.0024e+00 +3.3514e-01
229 +1.388549079e-02 +1.388549079e-02 -2.470961145e+02 -2.470961145e+02 -3.7180e+00 +2.8934e-01
263 +9.670575489e-03 +9.670575489e-03 -2.471003294e+02 -2.471003294e+02 -3.7051e+00 +1.7214e-01
266 +2.510643875e-03 +2.510643875e-03 -2.471074894e+02 -2.471074894e+02 -3.7534e+00 +1.8109e-01
303 +1.048913820e-03 +1.048913820e-03 -2.471089511e+02 -2.471089511e+02 -3.8216e+00 +1.8063e-01
340 +4.699917284e-05 +4.699917284e-05 -2.471099530e+02 -2.471099530e+02 -3.7996e+00 +1.9645e-01
539 +1.543151166e-05 +1.543151166e-05 -2.471099846e+02 -2.471099846e+02 -3.7994e+00 +1.9941e-01
622 +9.668866483e-06 +9.668866483e-06 -2.471099903e+02 -2.471099903e+02 -3.7966e+00 +2.0572e-01
670 +5.757186443e-07 +5.757186443e-07 -2.471099994e+02 -2.471099994e+02 -3.7977e+00 +2.0282e-01
803 +1.069403197e-07 +1.069403197e-07 -2.471099999e+02 -2.471099999e+02 -3.7987e+00 +2.0339e-01
875 +2.109999286e-09 +2.109999286e-09 -2.471100000e+02 -2.471100000e+02 -3.7984e+00 +2.0315e-01
% function evaluation | noise-free fitness - Fopt (-1.520400000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.961337415e+01 +1.961337415e+01 -1.324266259e+02 -1.324266259e+02 +3.4019e+00 -1.0562e+00
2 +1.203364435e+01 +1.203364435e+01 -1.400063557e+02 -1.400063557e+02 +2.8310e+00 +2.9844e+00
4 +3.489288963e+00 +3.489288963e+00 -1.485507110e+02 -1.485507110e+02 -1.6478e+00 +2.6823e+00
6 +1.999859928e-02 +1.999859928e-02 -1.520200014e+02 -1.520200014e+02 -2.2603e-01 +1.2887e+00
186 +5.292112834e-03 +5.292112834e-03 -1.520347079e+02 -1.520347079e+02 -2.0670e-01 +1.3836e+00
234 +3.650632957e-03 +3.650632957e-03 -1.520363494e+02 -1.520363494e+02 -3.1994e-01 +1.4535e+00
265 +9.088578350e-04 +9.088578350e-04 -1.520390911e+02 -1.520390911e+02 -2.4093e-01 +1.4388e+00
416 +2.531561406e-04 +2.531561406e-04 -1.520397468e+02 -1.520397468e+02 -2.5459e-01 +1.4143e+00
446 +8.515955412e-05 +8.515955412e-05 -1.520399148e+02 -1.520399148e+02 -2.5863e-01 +1.4274e+00
501 +2.742283220e-05 +2.742283220e-05 -1.520399726e+02 -1.520399726e+02 -2.6412e-01 +1.4282e+00
521 +4.301616059e-06 +4.301616059e-06 -1.520399957e+02 -1.520399957e+02 -2.6792e-01 +1.4221e+00
633 +1.971874696e-06 +1.971874696e-06 -1.520399980e+02 -1.520399980e+02 -2.6621e-01 +1.4230e+00
688 +2.475388783e-07 +2.475388783e-07 -1.520399998e+02 -1.520399998e+02 -2.6721e-01 +1.4245e+00
712 +1.296124310e-07 +1.296124310e-07 -1.520399999e+02 -1.520399999e+02 -2.6688e-01 +1.4242e+00
780 +6.901316851e-08 +6.901316851e-08 -1.520399999e+02 -1.520399999e+02 -2.6738e-01 +1.4238e+00
790 +8.311928923e-10 +8.311928923e-10 -1.520400000e+02 -1.520400000e+02 -2.6717e-01 +1.4240e+00
% function evaluation | noise-free fitness - Fopt (-2.525000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.905900905e+00 +2.905900905e+00 -2.234409909e+01 -2.234409909e+01 +3.4019e+00 -1.0562e+00
46 +9.661389943e-01 +9.661389943e-01 -2.428386101e+01 -2.428386101e+01 +4.5647e+00 +8.8640e-01
52 +5.164461286e-01 +5.164461286e-01 -2.473355387e+01 -2.473355387e+01 +4.1462e+00 +1.5185e-01
55 +1.590593792e-01 +1.590593792e-01 -2.509094062e+01 -2.509094062e+01 +4.0016e+00 +5.3970e-01
84 +1.508107598e-01 +1.508107598e-01 -2.509918924e+01 -2.509918924e+01 +3.3909e+00 +3.1763e-01
115 +4.996153564e-02 +4.996153564e-02 -2.520003846e+01 -2.520003846e+01 +3.3909e+00 +6.3508e-01
116 +2.505770150e-02 +2.505770150e-02 -2.522494230e+01 -2.522494230e+01 +3.6564e+00 +7.8781e-01
202 +1.526652002e-02 +1.526652002e-02 -2.523473348e+01 -2.523473348e+01 +3.5500e+00 +7.4065e-01
273 +7.047868302e-03 +7.047868302e-03 -2.524295213e+01 -2.524295213e+01 +3.5309e+00 +6.4350e-01
295 +4.183657154e-03 +4.183657154e-03 -2.524581634e+01 -2.524581634e+01 +3.5500e+00 +6.4119e-01
